Title,Artist,Album,Year,Duration(minutes)
Mountain Serenity,Acoustic Echoes,Natural Retreat,2022,3.4
Dusk Harmony,Harmonious Echoes,Sunset Strums,2021,2.3
Espresso Energies,Acoustic Jams,Relaxing Strings,2023,4.6
Midnight Riffs,Nocturnal Echoes,Electric Dreams,2020,4.0
Guitar Intermezzo,Strings and Chords,Acoustic Medleys,2022,2.9
Urban Guitars,City Strings,Metropolitan Melodies,2021,3.5
Dreamland Amplified,Cloudy Riffs,Sleepy Shreds,2023,5.1
Chilled Reverb,Easygoing Chords,Relaxed Rhythms,2020,2.2
Soothing Shred,Tranquil Riffs,Peaceful Plucks,2022,4.2
Cozy Campfire,Relaxed Strums,Fireside Melodies,2021,6.0

